,1M,1P,2M,2P,3M,3P
HWBA,1830.0,0.0,68571.0,14495.0,9807.0,16540.0
HWAB,121.0,0.0,8365.0,7829.0,0.0,21.0
HBWA,2162.0,0.0,32240.0,28039.0,26757.0,42372.0
HBAW,0.0,0.0,31.0,81.0,0.0,0.0
HAWB,0.0,0.0,0.0,0.0,0.0,0.0
HABW,0.0,0.0,0.0,0.0,0.0,0.0
WHBA,34729.0,0.0,56759.0,43685.0,578.0,15300.0
WHAB,18561.0,0.0,107860.0,43503.0,250.0,2089.0
WBHA,9868.0,1.0,1184.0,1427.0,326.0,8877.0
WBAH,10436.0,6.0,3288.0,4906.0,126.0,1863.0
WAHB,6879.0,18.0,553.0,62.0,38.0,102.0
WABH,12702.0,2.0,577.0,24.0,26.0,79.0
BHWA,67735.0,0.0,70887.0,30155.0,7518.0,27675.0
BHAW,45.0,0.0,144.0,147.0,0.0,0.0
BWHA,103053.0,0.0,19765.0,1918.0,1479.0,8995.0
BWAH,6779.0,0.0,2680.0,2720.0,0.0,2.0
BAHW,0.0,0.0,0.0,0.0,0.0,0.0
BAWH,4.0,0.0,0.0,0.0,0.0,0.0
AHWB,0.0,0.0,0.0,0.0,0.0,0.0
AHBW,0.0,0.0,0.0,0.0,0.0,0.0
AWHB,0.0,0.0,0.0,0.0,0.0,0.0
AWBH,0.0,0.0,0.0,0.0,0.0,0.0
ABHW,0.0,0.0,0.0,0.0,0.0,0.0
ABWH,0.0,0.0,0.0,0.0,0.0,0.0
