,1M,1P,2M,2P,3M,3P
HWBA,6978.0,0.0,88860.0,17551.0,5256.0,11302.0
HWAB,307.0,0.0,10617.0,4664.0,0.0,0.0
HBWA,613.0,0.0,32812.0,18732.0,19351.0,32932.0
HBAW,0.0,0.0,0.0,403.0,0.0,0.0
HAWB,0.0,0.0,0.0,0.0,0.0,0.0
HABW,0.0,0.0,0.0,0.0,0.0,0.0
WHBA,23774.0,0.0,4890.0,91974.0,113.0,3778.0
WHAB,42776.0,0.0,133546.0,12069.0,0.0,1343.0
WBHA,5512.0,0.0,16662.0,5546.0,0.0,8126.0
WBAH,328.0,0.0,1549.0,10198.0,0.0,531.0
WAHB,24.0,0.0,0.0,0.0,0.0,0.0
WABH,3393.0,0.0,0.0,0.0,0.0,0.0
BHWA,96436.0,0.0,60545.0,36238.0,6242.0,47244.0
BHAW,225.0,0.0,628.0,836.0,0.0,0.0
BWHA,55875.0,0.0,27681.0,5674.0,4650.0,12617.0
BWAH,19260.0,0.0,6895.0,2052.0,0.0,241.0
BAHW,33.0,0.0,0.0,0.0,0.0,0.0
BAWH,61.0,0.0,0.0,0.0,0.0,0.0
AHWB,0.0,0.0,0.0,0.0,0.0,0.0
AHBW,0.0,0.0,0.0,0.0,0.0,0.0
AWHB,0.0,0.0,0.0,0.0,0.0,0.0
AWBH,0.0,0.0,0.0,0.0,0.0,0.0
ABHW,0.0,0.0,0.0,0.0,0.0,0.0
ABWH,0.0,0.0,0.0,0.0,0.0,0.0
