,1M,1P,2M,2P,3M,3P
HWBA,324941.0,4052,82740.0,45833,0.0,2882.0
HWAB,127602.0,3659,174536.0,87010,0.0,3471.0
HBWA,237152.0,2151,196649.0,98929,0.0,2711.0
HBAW,53.0,178,0.0,135,0.0,17.0
HAWB,5279.0,1743,1077.0,9717,0.0,3783.0
HABW,59.0,571,0.0,157,0.0,2.0
WHBA,150353.0,51017,163977.0,49804,0.0,9072.0
WHAB,491907.0,43957,151032.0,91113,0.0,890.0
WBHA,143676.0,49315,96406.0,44037,0.0,13870.0
WBAH,133064.0,9120,449.0,10065,0.0,832.0
WAHB,94784.0,51208,138.0,22305,0.0,1425.0
WABH,125082.0,5610,780.0,13562,0.0,1330.0
BHWA,878789.0,3187,181988.0,72305,0.0,2796.0
BHAW,144.0,202,0.0,203,0.0,23.0
BWHA,161192.0,3949,3983.0,13125,0.0,2486.0
BWAH,112949.0,3709,52546.0,11566,0.0,807.0
BAHW,248.0,415,0.0,687,0.0,1.0
BAWH,11557.0,2834,760.0,8383,0.0,1520.0
AHWB,0.0,480,0.0,5472,0.0,4539.0
AHBW,0.0,45,0.0,91,0.0,5.0
AWHB,0.0,245,0.0,9587,0.0,2835.0
AWBH,0.0,663,0.0,3624,0.0,315.0
ABHW,0.0,97,0.0,382,0.0,0.0
ABWH,0.0,201,0.0,1551,0.0,245.0
