,1M,1P,2M,2P,3M,3P
HWBA,203354.0,0.0,192258.0,29495.0,12069.0,22218.0
HWAB,88971.0,0.0,206449.0,72621.0,6718.0,20295.0
HBWA,122385.0,0.0,278773.0,79923.0,32643.0,23479.0
HBAW,31.0,0.0,22.0,129.0,0.0,46.0
HAWB,920.0,0.0,2652.0,199.0,2784.0,14423.0
HABW,6.0,0.0,53.0,322.0,0.0,207.0
WHBA,62525.0,38.0,243311.0,45314.0,8494.0,63672.0
WHAB,294108.0,0.0,341142.0,66801.0,7689.0,67859.0
WBHA,62116.0,155.0,171077.0,13346.0,6889.0,93169.0
WBAH,97318.0,14.0,32197.0,10764.0,3998.0,8648.0
WAHB,76088.0,0.0,8696.0,2929.0,10138.0,70834.0
WABH,105476.0,0.0,15818.0,4259.0,4568.0,15544.0
BHWA,777822.0,0.0,279873.0,61052.0,3082.0,16498.0
BHAW,103.0,0.0,41.0,52.0,0.0,122.0
BWHA,150166.0,0.0,13259.0,5650.0,1750.0,13068.0
BWAH,62698.0,0.0,102002.0,6762.0,795.0,8414.0
BAHW,149.0,0.0,99.0,256.0,0.0,337.0
BAWH,5751.0,0.0,5117.0,3353.0,1449.0,8525.0
AHWB,0.0,0.0,0.0,0.0,0.0,9711.0
AHBW,0.0,0.0,0.0,0.0,0.0,0.0
AWHB,0.0,0.0,0.0,1095.0,0.0,10835.0
AWBH,0.0,0.0,0.0,469.0,0.0,2986.0
ABHW,0.0,0.0,0.0,0.0,0.0,86.0
ABWH,0.0,0.0,0.0,0.0,0.0,1587.0
