,Asian,Black,Hispanic,White
0,0,9,9,12
1,0,11,8,11
2,0,10,10,10
3,0,10,8,12
4,0,11,7,12
5,0,12,6,12
6,0,11,8,11
7,0,11,7,12
8,0,11,12,7
9,0,8,12,10
10,1,12,9,8
11,0,12,10,8
12,0,12,8,10
13,0,9,9,12
14,0,10,10,10
15,0,12,8,10
16,0,11,8,11
17,0,12,7,11
18,0,11,8,11
19,0,10,11,9
20,0,10,10,10
21,0,12,9,9
22,0,11,8,11
23,0,11,9,10
24,0,10,9,11
25,0,11,9,10
26,0,9,11,10
27,0,12,8,10
28,0,11,8,11
29,0,9,9,12
30,0,10,11,9
31,0,11,7,12
32,0,11,9,10
33,0,11,9,10
34,0,11,9,10
35,0,11,9,10
36,0,7,11,12
37,0,11,6,13
38,0,10,9,11
39,0,11,8,11
40,0,9,9,12
41,0,11,7,12
42,0,9,12,9
43,0,9,9,12
44,0,12,7,11
45,0,11,10,9
46,0,10,8,12
47,0,11,7,12
48,0,11,10,9
49,0,9,11,10
50,0,12,8,10
51,1,12,4,13
52,0,9,11,10
53,0,12,9,9
54,0,9,10,11
55,0,8,7,15
56,0,11,8,11
57,0,10,9,11
58,0,11,9,10
59,0,11,7,12
60,0,10,9,11
61,0,11,8,11
62,0,10,10,10
63,0,11,9,10
64,1,10,7,12
65,0,10,10,10
66,0,11,9,10
67,0,12,7,11
68,0,11,8,11
69,0,9,8,13
70,0,12,8,10
71,0,11,8,11
72,0,12,7,11
73,0,10,9,11
74,0,11,8,11
75,0,11,7,12
76,0,11,8,11
77,1,11,7,11
78,0,12,9,9
79,0,11,9,10
80,0,9,8,13
81,0,9,8,13
82,0,11,8,11
83,0,11,6,13
84,0,9,11,10
85,2,10,9,9
86,0,11,10,9
87,0,9,10,11
88,0,9,7,14
89,0,10,10,10
90,0,8,11,11
91,0,11,7,12
92,0,12,8,10
93,0,11,8,11
94,0,11,8,11
95,0,10,9,11
96,0,11,9,10
97,0,12,5,13
98,0,9,8,13
99,0,12,8,10
100,0,9,9,12
101,0,10,9,11
102,0,11,8,11
103,0,10,10,10
104,0,13,7,10
105,0,10,8,12
106,0,12,10,8
107,0,9,9,12
108,1,9,11,9
109,0,11,9,10
110,1,9,11,9
111,0,10,11,9
112,0,10,10,10
113,0,10,10,10
114,0,11,8,11
115,0,9,8,13
116,0,10,9,11
117,0,10,9,11
118,0,11,7,12
119,0,8,10,12
120,0,10,12,8
121,0,11,8,11
122,0,9,12,9
123,0,12,8,10
124,0,10,10,10
125,0,11,8,11
126,0,10,9,11
127,0,9,9,12
128,0,13,7,10
129,0,10,11,9
130,0,10,10,10
131,0,12,9,9
132,0,11,8,11
133,0,10,9,11
134,0,9,11,10
135,1,9,9,11
136,0,10,10,10
137,0,11,8,11
138,0,10,7,13
139,0,10,6,14
140,0,12,8,10
141,0,10,7,13
142,0,10,8,12
143,0,9,9,12
144,0,10,10,10
145,0,8,11,11
146,0,11,8,11
147,0,11,8,11
148,0,11,10,9
149,0,10,9,11
150,0,10,9,11
151,0,11,9,10
152,0,9,9,12
153,0,10,7,13
154,0,11,9,10
155,0,9,10,11
156,0,10,8,12
157,1,9,9,11
158,0,10,10,10
159,0,9,10,11
160,0,12,9,9
161,0,9,7,14
162,0,10,8,12
163,1,9,8,12
164,0,13,8,9
165,0,9,7,14
166,0,10,11,9
167,0,12,8,10
