Asian,Black,Hispanic,White,0
0,5,11,14,1
0,6,9,15,1
0,6,10,14,3
0,6,11,13,2
0,6,12,12,4
0,6,13,11,5
0,6,14,10,1
0,7,7,16,1
0,7,8,15,11
0,7,9,14,28
0,7,10,13,70
0,7,11,12,108
0,7,12,11,48
0,7,13,10,27
0,7,14,9,13
0,7,15,8,2
0,8,5,17,1
0,8,6,16,6
0,8,7,15,36
0,8,8,14,143
0,8,9,13,442
0,8,10,12,656
0,8,11,11,696
0,8,12,10,393
0,8,13,9,146
0,8,14,8,37
0,8,15,7,6
0,9,5,16,2
0,9,6,15,50
0,9,7,14,329
0,9,8,13,1168
0,9,9,12,2476
0,9,10,11,3034
0,9,11,10,2104
0,9,12,9,1013
0,9,13,8,300
0,9,14,7,53
0,9,15,6,1
0,10,4,16,4
0,10,5,15,32
0,10,6,14,332
0,10,7,13,1704
0,10,8,12,4473
0,10,9,11,6620
0,10,10,10,5766
0,10,11,9,3283
0,10,12,8,1097
0,10,13,7,212
0,10,14,6,16
0,11,4,15,11
0,11,5,14,121
0,11,6,13,1054
0,11,7,12,3826
0,11,8,11,7296
0,11,9,10,8101
0,11,10,9,5471
0,11,11,8,2148
0,11,12,7,435
0,11,13,6,43
0,11,14,5,3
0,12,3,15,1
0,12,4,14,28
0,12,5,13,249
0,12,6,12,1285
0,12,7,11,3448
0,12,8,10,5294
0,12,9,9,4902
0,12,10,8,2284
0,12,11,7,533
0,12,12,6,57
0,12,13,5,2
0,13,3,14,2
0,13,4,13,21
0,13,5,12,190
0,13,6,11,726
0,13,7,10,1705
0,13,8,9,2099
0,13,9,8,1099
0,13,10,7,256
0,13,11,6,30
0,13,12,5,1
0,14,4,12,8
0,14,5,11,85
0,14,6,10,227
0,14,7,9,363
0,14,8,8,263
0,14,9,7,59
0,14,10,6,2
0,15,4,11,6
0,15,5,10,12
0,15,6,9,34
0,15,7,8,25
0,15,8,7,10
0,16,5,9,2
0,16,6,8,6
1,6,10,13,1
1,6,11,12,1
1,7,7,15,1
1,7,8,14,2
1,7,9,13,7
1,7,10,12,14
1,7,11,11,7
1,7,12,10,12
1,7,13,9,3
1,7,14,8,1
1,7,15,7,2
1,8,5,16,1
1,8,7,14,4
1,8,8,13,14
1,8,9,12,42
1,8,10,11,81
1,8,11,10,77
1,8,12,9,45
1,8,13,8,19
1,8,14,7,1
1,8,15,6,1
1,9,6,14,7
1,9,7,13,36
1,9,8,12,131
1,9,9,11,279
1,9,10,10,346
1,9,11,9,248
1,9,12,8,89
1,9,13,7,25
1,9,14,6,3
1,9,15,5,1
1,10,5,14,5
1,10,6,13,26
1,10,7,12,204
1,10,8,11,538
1,10,9,10,691
1,10,10,9,594
1,10,11,8,284
1,10,12,7,79
1,10,13,6,14
1,11,3,15,1
1,11,4,14,1
1,11,5,13,14
1,11,6,12,101
1,11,7,11,388
1,11,8,10,747
1,11,9,9,818
1,11,10,8,504
1,11,11,7,151
1,11,12,6,18
1,11,13,5,4
1,12,4,13,1
1,12,5,12,20
1,12,6,11,133
1,12,7,10,362
1,12,8,9,558
1,12,9,8,403
1,12,10,7,159
1,12,11,6,22
1,12,12,5,1
1,13,4,12,4
1,13,5,11,22
1,13,6,10,67
1,13,7,9,158
1,13,8,8,192
1,13,9,7,75
1,13,10,6,11
1,14,4,11,1
1,14,5,10,7
1,14,6,9,24
1,14,7,8,27
1,14,8,7,15
1,14,9,6,1
1,15,5,9,1
1,15,6,8,3
2,8,9,11,3
2,8,10,10,1
2,8,11,9,1
2,8,12,8,3
2,9,7,12,3
2,9,8,11,6
2,9,9,10,14
2,9,10,9,15
2,9,11,8,4
2,9,12,7,2
2,9,13,6,1
2,10,6,12,1
2,10,7,11,8
2,10,8,10,24
2,10,9,9,26
2,10,10,8,21
2,10,11,7,9
2,10,12,6,1
2,11,5,12,1
2,11,6,11,4
2,11,7,10,10
2,11,8,9,26
2,11,9,8,18
2,11,10,7,10
2,11,11,6,3
2,12,6,10,2
2,12,7,9,10
2,12,8,8,11
2,12,9,7,17
2,12,10,6,2
2,13,6,9,2
2,13,7,8,4
2,13,8,7,3
3,9,10,8,1
3,11,7,9,2
3,11,8,8,1
3,12,8,7,1
