Asian,Black,Hispanic,White,0
0,5,13,12,2
0,6,8,16,1
0,6,9,15,5
0,6,10,14,6
0,6,11,13,8
0,6,12,12,10
0,6,13,11,11
0,6,14,10,1
0,7,6,17,1
0,7,7,16,5
0,7,8,15,28
0,7,9,14,88
0,7,10,13,154
0,7,11,12,227
0,7,12,11,155
0,7,13,10,69
0,7,14,9,21
0,7,15,8,2
0,8,5,17,3
0,8,6,16,11
0,8,7,15,75
0,8,8,14,340
0,8,9,13,1024
0,8,10,12,1494
0,8,11,11,1356
0,8,12,10,767
0,8,13,9,228
0,8,14,8,55
0,8,15,7,5
0,9,5,16,8
0,9,6,15,103
0,9,7,14,595
0,9,8,13,2275
0,9,9,12,4634
0,9,10,11,5222
0,9,11,10,3421
0,9,12,9,1262
0,9,13,8,282
0,9,14,7,34
0,9,15,6,1
0,9,16,5,1
0,10,4,16,3
0,10,5,15,43
0,10,6,14,432
0,10,7,13,2338
0,10,8,12,6274
0,10,9,11,8901
0,10,10,10,6848
0,10,11,9,2999
0,10,12,8,689
0,10,13,7,80
0,10,14,6,6
0,11,4,15,10
0,11,5,14,153
0,11,6,13,1067
0,11,7,12,3868
0,11,8,11,7282
0,11,9,10,7045
0,11,10,9,3647
0,11,11,8,998
0,11,12,7,122
0,11,13,6,10
0,12,3,15,1
0,12,4,14,22
0,12,5,13,244
0,12,6,12,1005
0,12,7,11,2640
0,12,8,10,3511
0,12,9,9,2287
0,12,10,8,751
0,12,11,7,127
0,12,12,6,8
0,13,3,14,1
0,13,4,13,14
0,13,5,12,106
0,13,6,11,487
0,13,7,10,803
0,13,8,9,709
0,13,9,8,267
0,13,10,7,58
0,13,11,6,7
0,14,4,12,8
0,14,5,11,39
0,14,6,10,91
0,14,7,9,144
0,14,8,8,58
0,14,9,7,14
0,15,3,12,1
0,15,5,10,7
0,15,6,9,21
0,15,7,8,5
0,15,8,7,1
0,16,5,9,1
0,16,7,7,2
1,6,8,15,1
1,6,11,12,1
1,6,12,11,3
1,6,13,10,1
1,6,14,9,1
1,7,8,14,4
1,7,9,13,14
1,7,10,12,15
1,7,11,11,24
1,7,12,10,17
1,7,13,9,7
1,7,14,8,3
1,7,15,7,1
1,8,7,14,9
1,8,8,13,43
1,8,9,12,110
1,8,10,11,174
1,8,11,10,144
1,8,12,9,76
1,8,13,8,27
1,8,14,7,3
1,9,5,15,1
1,9,6,14,17
1,9,7,13,69
1,9,8,12,286
1,9,9,11,536
1,9,10,10,565
1,9,11,9,331
1,9,12,8,99
1,9,13,7,11
1,9,14,6,1
1,10,5,14,9
1,10,6,13,41
1,10,7,12,290
1,10,8,11,676
1,10,9,10,912
1,10,10,9,674
1,10,11,8,269
1,10,12,7,37
1,10,13,6,1
1,10,14,5,1
1,11,5,13,17
1,11,6,12,130
1,11,7,11,401
1,11,8,10,805
1,11,9,9,734
1,11,10,8,354
1,11,11,7,60
1,11,12,6,8
1,12,3,14,1
1,12,4,13,3
1,12,5,12,24
1,12,6,11,137
1,12,7,10,298
1,12,8,9,365
1,12,9,8,212
1,12,10,7,69
1,12,11,6,9
1,13,5,11,16
1,13,6,10,50
1,13,7,9,69
1,13,8,8,66
1,13,9,7,21
1,13,10,6,5
1,14,4,11,2
1,14,5,10,4
1,14,6,9,12
1,14,7,8,6
1,14,8,7,4
1,14,9,6,2
1,15,5,9,3
1,15,6,8,2
1,15,7,7,1
2,6,10,12,1
2,7,9,12,1
2,7,10,11,2
2,8,7,13,1
2,8,9,11,3
2,8,10,10,10
2,8,11,9,6
2,8,12,8,1
2,9,7,12,3
2,9,8,11,9
2,9,9,10,24
2,9,10,9,21
2,9,11,8,6
2,9,12,7,2
2,10,6,12,4
2,10,7,11,11
2,10,8,10,31
2,10,9,9,46
2,10,10,8,21
2,10,11,7,12
2,11,5,12,1
2,11,6,11,6
2,11,7,10,17
2,11,8,9,31
2,11,9,8,19
2,11,10,7,17
2,12,5,11,1
2,12,6,10,2
2,12,7,9,11
2,12,8,8,17
2,12,9,7,7
2,12,10,6,4
2,13,5,10,1
2,13,6,9,4
2,13,7,8,3
3,7,11,9,1
3,8,11,8,1
3,10,7,10,1
3,11,8,8,1
3,12,7,8,1
