,Asian,Black,Hispanic,White
0,0,19,13,18
1,0,15,15,20
2,1,15,14,20
3,1,15,18,16
4,0,16,15,19
5,0,18,12,20
6,0,16,16,18
7,0,18,15,17
8,0,18,16,16
9,0,18,15,17
10,0,16,13,21
11,0,19,17,14
12,1,18,16,15
13,0,19,15,16
14,1,16,15,18
15,0,16,18,16
16,0,15,18,17
17,1,16,18,15
18,0,14,15,21
19,0,19,14,17
20,0,18,14,18
21,1,17,11,21
22,0,15,20,15
23,0,16,14,20
24,0,17,15,18
25,1,21,13,15
26,0,18,13,19
27,0,14,18,18
28,0,18,16,16
29,0,18,16,16
30,0,16,14,20
31,0,16,11,23
32,1,16,14,19
33,0,16,18,16
34,0,17,15,18
35,0,18,13,19
36,0,15,13,22
37,0,13,18,19
38,0,17,17,16
39,0,18,16,16
40,0,15,18,17
41,0,13,21,16
42,1,15,16,18
43,1,19,12,18
44,0,19,17,14
45,0,17,17,16
46,0,20,17,13
47,0,20,14,16
48,0,17,15,18
49,0,15,17,18
50,1,19,14,16
51,0,13,18,19
52,0,17,12,21
53,0,17,15,18
54,0,19,15,16
55,1,19,13,17
56,0,16,19,15
57,0,17,15,18
58,1,17,15,17
59,0,20,12,18
60,0,15,15,20
61,0,17,14,19
62,0,16,17,17
63,2,18,13,17
64,0,17,15,18
65,1,15,17,17
66,0,14,15,21
67,0,18,15,17
68,0,15,19,16
69,0,21,13,16
70,0,18,15,17
71,0,19,17,14
72,0,15,15,20
73,1,17,16,16
74,0,17,16,17
75,0,16,14,20
76,0,22,17,11
77,0,19,14,17
78,0,15,14,21
79,0,19,14,17
80,0,15,15,20
81,0,19,15,16
82,0,18,15,17
83,0,16,13,21
84,1,15,15,19
85,0,17,16,17
86,1,15,17,17
87,2,13,16,19
88,0,18,13,19
89,0,17,17,16
90,0,14,18,18
91,0,17,15,18
92,1,20,14,15
93,0,17,19,14
94,0,13,20,17
95,0,16,19,15
96,0,14,20,16
97,0,18,19,13
98,0,18,15,17
99,1,18,14,17
100,0,17,14,19
101,0,16,17,17
102,0,18,14,18
103,0,14,17,19
104,0,18,15,17
105,0,16,14,20
106,0,15,19,16
107,0,19,15,16
108,0,16,14,20
109,0,19,13,18
110,0,14,15,21
111,0,18,16,16
112,0,18,15,17
113,1,16,17,16
114,1,16,16,17
115,1,16,16,17
116,0,15,15,20
117,0,16,17,17
118,1,18,16,15
119,0,14,16,20
120,0,20,16,14
121,1,19,12,18
122,0,17,17,16
123,0,16,15,19
124,0,16,11,23
125,0,17,16,17
126,0,15,14,21
127,0,16,13,21
128,0,15,16,19
129,1,17,15,17
130,0,17,14,19
131,0,14,17,19
132,0,16,16,18
133,0,19,16,15
134,0,18,15,17
135,2,18,16,14
136,2,15,18,15
137,1,17,12,20
138,0,17,14,19
139,0,16,18,16
140,0,13,16,21
141,1,13,17,19
142,0,16,18,16
143,0,16,19,15
144,0,18,17,15
145,1,16,16,17
146,0,15,14,21
147,1,19,13,17
148,0,17,17,16
149,0,16,19,15
150,0,17,15,18
151,0,18,17,15
152,0,17,16,17
153,0,17,14,19
154,0,16,19,15
155,0,16,18,16
156,0,17,18,15
157,1,18,14,17
158,0,16,20,14
159,1,15,18,16
160,0,12,16,22
161,0,18,15,17
162,0,17,13,20
163,1,19,15,15
164,0,14,18,18
165,0,14,19,17
166,0,19,13,18
167,0,17,16,17
168,0,19,13,18
169,0,16,16,18
170,0,20,18,12
171,0,12,18,20
172,1,17,13,19
173,0,17,12,21
174,0,13,16,21
175,0,15,16,19
176,0,17,15,18
177,0,20,16,14
178,1,16,13,20
179,0,14,18,18
180,1,15,15,19
181,0,20,13,17
182,0,17,14,19
183,0,16,15,19
184,0,20,13,17
185,0,17,15,18
186,0,16,17,17
187,0,17,15,18
188,0,18,16,16
189,2,17,16,15
190,0,16,16,18
191,0,15,19,16
192,0,18,15,17
193,0,16,18,16
194,2,14,14,20
195,0,14,19,17
196,1,17,15,17
197,0,16,17,17
198,0,19,17,14
199,0,16,17,17
200,0,16,16,18
201,0,18,18,14
202,0,19,18,13
203,1,18,16,15
204,1,17,16,16
205,0,18,13,19
206,0,16,14,20
207,0,16,17,17
208,1,16,17,16
209,0,16,17,17
210,1,15,17,17
211,0,17,15,18
212,1,14,17,18
213,0,21,15,14
214,0,18,17,15
215,0,18,14,18
216,0,17,14,19
217,0,17,16,17
218,0,17,14,19
219,0,16,15,19
220,0,19,15,16
221,0,17,14,19
222,0,15,15,20
223,0,17,17,16
224,0,16,13,21
225,0,16,16,18
226,0,15,16,19
227,0,19,17,14
228,0,20,15,15
229,0,19,16,15
230,0,16,18,16
231,0,17,16,17
232,2,15,14,19
233,1,18,17,14
234,1,20,13,16
235,0,19,13,18
236,1,19,15,15
237,0,18,14,18
238,1,18,14,17
239,0,20,11,19
240,1,18,17,14
241,0,19,16,15
242,0,17,19,14
243,0,17,19,14
244,1,15,19,15
245,0,15,15,20
246,0,16,14,20
247,0,18,15,17
248,0,16,19,15
249,0,15,13,22
250,0,20,14,16
251,0,18,15,17
252,0,16,16,18
253,0,19,13,18
254,0,16,13,21
