Asian,Black,Hispanic,White,0
0,10,17,23,1
0,11,12,27,1
0,11,13,26,2
0,11,14,25,1
0,11,15,24,3
0,11,16,23,8
0,11,17,22,7
0,11,18,21,6
0,11,19,20,5
0,11,20,19,4
0,11,21,18,2
0,11,22,17,1
0,12,12,26,1
0,12,13,25,9
0,12,14,24,14
0,12,15,23,28
0,12,16,22,51
0,12,17,21,39
0,12,18,20,53
0,12,19,19,48
0,12,20,18,28
0,12,21,17,9
0,12,22,16,2
0,13,11,26,1
0,13,12,25,8
0,13,13,24,43
0,13,14,23,95
0,13,15,22,193
0,13,16,21,256
0,13,17,20,289
0,13,18,19,236
0,13,19,18,174
0,13,20,17,78
0,13,21,16,26
0,13,22,15,6
0,13,23,14,1
0,14,10,26,3
0,14,11,25,17
0,14,12,24,59
0,14,13,23,159
0,14,14,22,376
0,14,15,21,687
0,14,16,20,867
0,14,17,19,940
0,14,18,18,683
0,14,19,17,408
0,14,20,16,192
0,14,21,15,50
0,14,22,14,9
0,14,23,13,1
0,15,9,26,2
0,15,10,25,6
0,15,11,24,49
0,15,12,23,184
0,15,13,22,558
0,15,14,21,1132
0,15,15,20,1782
0,15,16,19,2124
0,15,17,18,1891
0,15,18,17,1249
0,15,19,16,666
0,15,20,15,249
0,15,21,14,68
0,15,22,13,7
0,16,9,25,7
0,16,10,24,30
0,16,11,23,143
0,16,12,22,472
0,16,13,21,1242
0,16,14,20,2410
0,16,15,19,3377
0,16,16,18,3509
0,16,17,17,2687
0,16,18,16,1645
0,16,19,15,688
0,16,20,14,208
0,16,21,13,40
0,16,22,12,11
0,17,7,26,1
0,17,8,25,1
0,17,9,24,16
0,17,10,23,86
0,17,11,22,320
0,17,12,21,991
0,17,13,20,2270
0,17,14,19,3625
0,17,15,18,4423
0,17,16,17,3922
0,17,17,16,2545
0,17,18,15,1211
0,17,19,14,404
0,17,20,13,81
0,17,21,12,11
0,17,22,11,2
0,18,7,25,1
0,18,8,24,4
0,18,9,23,28
0,18,10,22,138
0,18,11,21,521
0,18,12,20,1393
0,18,13,19,2694
0,18,14,18,3600
0,18,15,17,3834
0,18,16,16,2811
0,18,17,15,1430
0,18,18,14,538
0,18,19,13,126
0,18,20,12,30
0,18,21,11,1
0,19,7,24,1
0,19,8,23,5
0,19,9,22,32
0,19,10,21,182
0,19,11,20,578
0,19,12,19,1341
0,19,13,18,2204
0,19,14,17,2665
0,19,15,16,2209
0,19,16,15,1293
0,19,17,14,527
0,19,18,13,157
0,19,19,12,20
0,19,20,11,4
0,20,8,22,3
0,20,9,21,37
0,20,10,20,152
0,20,11,19,414
0,20,12,18,835
0,20,13,17,1234
0,20,14,16,1177
0,20,15,15,732
0,20,16,14,335
0,20,17,13,115
0,20,18,12,23
0,20,19,11,3
0,21,8,21,1
0,21,9,20,17
0,21,10,19,70
0,21,11,18,217
0,21,12,17,307
0,21,13,16,373
0,21,14,15,276
0,21,15,14,135
0,21,16,13,54
0,21,17,12,17
0,21,18,11,1
0,22,8,20,4
0,22,9,19,3
0,22,10,18,21
0,22,11,17,71
0,22,12,16,91
0,22,13,15,86
0,22,14,14,49
0,22,15,13,27
0,22,16,12,1
0,23,9,18,2
0,23,10,17,5
0,23,11,16,15
0,23,12,15,12
0,23,13,14,5
0,23,14,13,7
0,24,10,16,1
0,24,11,15,2
0,24,13,13,1
1,10,20,19,1
1,11,14,24,2
1,11,15,23,1
1,11,16,22,1
1,11,17,21,3
1,11,18,20,1
1,11,19,19,3
1,11,20,18,2
1,12,12,25,1
1,12,14,23,4
1,12,15,22,7
1,12,16,21,11
1,12,17,20,13
1,12,18,19,7
1,12,19,18,11
1,12,20,17,4
1,12,21,16,2
1,13,11,25,1
1,13,12,24,4
1,13,13,23,8
1,13,14,22,26
1,13,15,21,26
1,13,16,20,48
1,13,17,19,45
1,13,18,18,47
1,13,19,17,33
1,13,20,16,8
1,13,21,15,4
1,14,11,24,1
1,14,12,23,11
1,14,13,22,37
1,14,14,21,75
1,14,15,20,134
1,14,16,19,153
1,14,17,18,135
1,14,18,17,98
1,14,19,16,51
1,14,20,15,34
1,14,21,14,11
1,14,22,13,3
1,15,10,24,2
1,15,11,23,10
1,15,12,22,51
1,15,13,21,106
1,15,14,20,215
1,15,15,19,276
1,15,16,18,345
1,15,17,17,264
1,15,18,16,159
1,15,19,15,78
1,15,20,14,18
1,15,21,13,5
1,16,10,23,4
1,16,11,22,41
1,16,12,21,103
1,16,13,20,219
1,16,14,19,394
1,16,15,18,531
1,16,16,17,525
1,16,17,16,356
1,16,18,15,184
1,16,19,14,59
1,16,20,13,15
1,16,21,12,3
1,17,9,23,3
1,17,10,22,14
1,17,11,21,58
1,17,12,20,184
1,17,13,19,354
1,17,14,18,495
1,17,15,17,528
1,17,16,16,429
1,17,17,15,274
