White,Black,Hispanic,Asian,Count
10,18,21,1,1
10,19,20,1,1
10,20,20,0,1
10,21,18,1,1
11,17,20,2,1
11,17,21,1,3
11,17,22,0,1
11,18,19,2,1
11,18,20,1,2
11,18,21,0,1
11,19,20,0,1
11,20,18,1,1
11,21,17,1,2
11,21,18,0,1
11,22,17,0,1
12,14,23,1,1
12,15,22,1,1
12,16,20,2,3
12,16,21,1,4
12,16,22,0,7
12,17,19,2,3
12,17,20,1,14
12,17,21,0,16
12,18,18,2,1
12,18,19,1,35
12,18,20,0,20
12,19,17,2,5
12,19,18,1,11
12,19,19,0,24
12,20,16,2,3
12,20,17,1,19
12,20,18,0,14
12,21,15,2,1
12,21,16,1,4
12,21,17,0,9
12,22,15,1,2
12,22,16,0,6
13,14,21,2,1
13,14,22,1,3
13,14,23,0,5
13,15,20,2,4
13,15,21,1,11
13,15,22,0,13
13,16,19,2,4
13,16,20,1,47
13,16,21,0,46
13,17,17,3,1
13,17,18,2,10
13,17,19,1,67
13,17,20,0,92
13,18,17,2,12
13,18,18,1,92
13,18,19,0,107
13,19,16,2,3
13,19,17,1,48
13,19,18,0,112
13,20,15,2,5
13,20,16,1,41
13,20,17,0,80
13,21,14,2,3
13,21,15,1,12
13,21,16,0,19
13,22,14,1,3
13,22,15,0,8
13,23,13,1,3
13,23,14,0,1
14,13,23,0,1
14,14,20,2,7
14,14,21,1,21
14,14,22,0,20
14,15,19,2,13
14,15,20,1,65
14,15,21,0,79
14,16,18,2,22
14,16,19,1,147
14,16,20,0,228
14,17,16,3,1
14,17,17,2,35
14,17,18,1,264
14,17,19,0,401
14,18,16,2,23
14,18,17,1,222
14,18,18,0,449
14,19,15,2,13
14,19,16,1,145
14,19,17,0,313
14,20,14,2,11
14,20,15,1,63
14,20,16,0,178
14,21,13,2,1
14,21,14,1,25
14,21,15,0,42
14,22,13,1,6
14,22,14,0,12
14,23,12,1,1
14,23,13,0,2
14,24,11,1,2
15,12,23,0,1
15,13,20,2,6
15,13,21,1,12
15,13,22,0,23
15,14,19,2,9
15,14,20,1,84
15,14,21,0,103
15,15,17,3,2
15,15,18,2,27
15,15,19,1,243
15,15,20,0,359
15,16,16,3,3
15,16,17,2,51
15,16,18,1,487
15,16,19,0,795
15,17,15,3,2
15,17,16,2,61
15,17,17,1,517
15,17,18,0,999
15,18,14,3,1
15,18,15,2,27
15,18,16,1,415
15,18,17,0,955
15,19,14,2,21
15,19,15,1,260
15,19,16,0,648
15,20,13,2,7
15,20,14,1,113
15,20,15,0,262
15,21,12,2,1
15,21,13,1,33
15,21,14,0,68
15,22,12,1,5
15,22,13,0,8
15,23,12,0,1
16,12,21,1,5
16,12,22,0,11
16,13,19,2,6
16,13,20,1,52
16,13,21,0,65
16,14,18,2,29
16,14,19,1,218
16,14,20,0,366
16,15,16,3,1
16,15,17,2,54
16,15,18,1,501
16,15,19,0,1091
16,16,15,3,2
16,16,16,2,65
16,16,17,1,775
16,16,18,0,1727
16,17,14,3,1
16,17,15,2,56
16,17,16,1,754
16,17,17,0,2062
16,18,14,2,45
16,18,15,1,616
16,18,16,0,1556
16,19,12,3,1
16,19,13,2,15
16,19,14,1,309
16,19,15,0,833
16,20,12,2,2
16,20,13,1,103
16,20,14,0,287
16,21,11,2,2
16,21,12,1,21
16,21,13,0,67
16,22,11,1,2
16,22,12,0,10
17,11,21,1,1
17,11,22,0,3
17,12,19,2,1
17,12,20,1,10
17,12,21,0,44
17,13,17,3,1
17,13,18,2,10
17,13,19,1,111
17,13,20,0,270
17,14,16,3,2
17,14,17,2,32
17,14,18,1,387
17,14,19,0,942
17,15,15,3,2
17,15,16,2,72
17,15,17,1,718
17,15,18,0,2184
17,16,15,2,57
17,16,16,1,989
17,16,17,0,3132
17,17,13,3,1
17,17,14,2,50
17,17,15,1,852
17,17,16,0,2778
17,18,13,2,27
17,18,14,1,612
17,18,15,0,1750
17,19,12,2,18
17,19,13,1,262
17,19,14,0,752
17,20,11,2,2
17,20,12,1,81
17,20,13,0,219
17,21,11,1,8
17,21,12,0,25
17,22,10,1,1
17,22,11,0,3
18,11,20,1,5
18,11,21,0,13
18,12,18,2,3
18,12,19,1,39
18,12,20,0,103
18,13,17,2,9
18,13,18,1,191
18,13,19,0,603
18,14,16,2,41
18,14,17,1,535
18,14,18,0,1874
18,15,15,2,30
18,15,16,1,878
18,15,17,0,3204
18,16,13,3,1
18,16,14,2,41
18,16,15,1,931
18,16,16,0,3701
18,17,13,2,24
18,17,14,1,669
18,17,15,0,2679
18,18,12,2,8
18,18,13,1,390
18,18,14,0,1390
18,19,11,2,5
18,19,12,1,135
18,19,13,0,455
18,20,11,1,24
18,20,12,0,123
18,21,10,1,5
18,21,11,0,20
19,11,19,1,2
19,11,20,0,34
19,12,17,2,5
19,12,18,1,53
19,12,19,0,245
19,13,15,3,1
19,13,16,2,12
19,13,17,1,235
19,13,18,0,1001
19,14,14,3,1
19,14,15,2,31
19,14,16,1,528
19,14,17,0,2532
19,15,14,2,35
19,15,15,1,697
19,15,16,0,3534
19,16,13,2,17
19,16,14,1,626
19,16,15,0,3304
19,17,12,2,12
19,17,13,1,381
19,17,14,0,1910
19,18,11,2,3
19,18,12,1,172
19,18,13,0,760
19,19,10,2,1
19,19,11,1,46
19,19,12,0,240
19,20,10,1,3
19,20,11,0,26
19,21,10,0,2
20,9,21,0,1
20,10,20,0,4
20,11,17,2,1
20,11,18,1,11
20,11,19,0,57
20,12,16,2,3
20,12,17,1,72
20,12,18,0,384
20,13,15,2,9
20,13,16,1,205
20,13,17,0,1272
20,14,14,2,11
20,14,15,1,400
20,14,16,0,2506
20,15,13,2,10
20,15,14,1,468
20,15,15,0,2901
20,16,12,2,6
20,16,13,1,321
20,16,14,0,2111
20,17,11,2,8
20,17,12,1,143
20,17,13,0,973
20,18,11,1,68
20,18,12,0,333
20,19,10,1,6
20,19,11,0,66
20,20,9,1,1
20,20,10,0,8
20,21,9,0,1
21,10,18,1,5
21,10,19,0,5
21,11,17,1,19
21,11,18,0,70
21,12,15,2,1
21,12,16,1,51
21,12,17,0,426
21,13,14,2,4
21,13,15,1,145
21,13,16,0,1261
21,14,13,2,10
21,14,14,1,237
21,14,15,0,1914
21,15,12,2,1
21,15,13,1,200
21,15,14,0,1753
21,16,11,2,4
21,16,12,1,122
21,16,13,0,1011
21,17,11,1,41
21,17,12,0,364
21,18,10,1,11
21,18,11,0,73
21,19,9,1,1
21,19,10,0,18
22,10,17,1,1
22,10,18,0,6
22,11,16,1,10
22,11,17,0,93
22,12,14,2,1
22,12,15,1,49
22,12,16,0,383
22,13,13,2,5
22,13,14,1,106
22,13,15,0,826
22,14,12,2,2
22,14,13,1,108
22,14,14,0,1086
22,15,11,2,1
22,15,12,1,80
22,15,13,0,783
22,16,11,1,25
22,16,12,0,333
22,17,10,1,9
22,17,11,0,98
22,18,10,0,15
22,19,9,0,1
23,10,15,2,1
23,10,17,0,11
23,11,15,1,14
23,11,16,0,82
23,12,13,2,1
23,12,14,1,26
23,12,15,0,242
23,13,13,1,43
23,13,14,0,456
23,14,12,1,38
23,14,13,0,461
23,15,10,2,1
23,15,11,1,14
23,15,12,0,238
23,16,10,1,4
23,16,11,0,92
23,17,9,1,1
23,17,10,0,17
23,18,9,0,4
24,10,15,1,2
24,10,16,0,5
24,11,14,1,2
24,11,15,0,52
24,12,13,1,14
24,12,14,0,129
24,13,11,2,1
24,13,12,1,17
24,13,13,0,219
24,14,11,1,8
24,14,12,0,154
24,15,11,0,58
24,16,10,0,12
24,17,9,0,4
25,9,16,0,1
25,10,15,0,1
25,11,13,1,1
25,11,14,0,22
25,12,12,1,1
25,12,13,0,56
25,13,11,1,4
25,13,12,0,73
25,14,11,0,29
25,15,10,0,8
26,10,14,0,2
26,11,13,0,6
26,12,11,1,1
26,12,12,0,19
26,13,11,0,11
26,14,10,0,5
26,15,9,0,2
27,11,12,0,3
27,12,11,0,2
27,13,10,0,4
27,14,9,0,2
28,10,12,0,1
28,12,10,0,2
