,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice
0,000101-00-0001,C15,C06,C11,,,,,,,,,,,,,,,
1,000101-00-0001,C15,C11,C17,C13,,,,,,,,,,,,,,
2,000101-00-0002,C01,C15,C17,C11,,,,,,,,,,,,,,
3,000101-00-0002,C15,C06,C05,C02,C04,C12,C03,WI0,,,,,,,,,,
4,000101-00-0003,WI0,C16,,,,,,,,,,,,,,,,
5,000101-00-0005,C06,C18,C17,C16,C15,,,,,,,,,,,,,
6,000101-00-0006,C03,C01,C13,,,,,,,,,,,,,,,
7,000101-00-0007,C15,C11,,,,,,,,,,,,,,,,
8,000101-00-0011,C15,C05,C06,C17,C03,,,,,,,,,,,,,
9,000101-00-0012,C13,C02,C01,,,,,,,,,,,,,,,
10,000101-00-0014,C15,C02,C01,C06,C12,C13,C04,C05,C11,,,,,,,,,
11,000101-00-0016,C15,C16,C02,,,,,,,,,,,,,,,
12,000101-00-0017,C11,C15,C06,C09,,,,,,,,,,,,,,
13,000101-00-0019,C11,C13,C15,C05,C04,C03,C01,C17,,,,,,,,,,
14,000101-00-0021,C15,C05,C06,,,,,,,,,,,,,,,
15,000101-00-0023,C16,C01,C02,C15,C06,,,,,,,,,,,,,
16,000101-00-0025,C15,C07,C12,,,,,,,,,,,,,,,
17,000101-00-0027,C15,C07,C12,,,,,,,,,,,,,,,
18,000101-00-0027,0),,,,,,,,,,,,,,,,,
19,000101-00-0028,C16,C01,C02,C06,C15,,,,,,,,,,,,,
20,000101-00-0028,0),,,,,,,,,,,,,,,,,
21,000101-00-0029,C15,C05,C03,C11,C13,,,,,,,,,,,,,
22,000101-00-0033,C10,C14,C16,C17,C18,C06,C07,C08,C09,,,,,,,,,
23,000101-00-0034,C02,C03,C08,,,,,,,,,,,,,,,
24,000101-00-0036,C09,C01,C02,C17,C15,C16,C04,C12,C11,C05,,,,,,,,
25,000101-00-0039,C04,C06,C14,C12,C01,C16,C13,C02,C11,C18,C15,,,,,,,
26,000101-00-0040,C15,C01,C03,,,,,,,,,,,,,,,
27,000101-00-0043,C15,C01,C03,,,,,,,,,,,,,,,
28,000101-00-0044,C04,C06,C14,C12,C16,C17,C13,C09,C01,C15,,,,,,,,
29,000101-00-0046,C05,,,,,,,,,,,,,,,,,
30,000101-00-0049,C04,C16,C05,C01,C02,C12,C13,C14,C15,C17,,,,,,,,
31,000101-00-0051,C13,,,,,,,,,,,,,,,,,
32,000101-00-0052,C04,C16,C01,C15,C13,C02,C05,C14,C12,C17,,,,,,,,
33,000101-00-0053,C15,C05,C02,C11,C03,C13,C04,C12,C01,,,,,,,,,
34,000101-00-0056,C01,C11,C02,C03,C04,C05,C06,C07,C08,C09,C10,C12,C13,C14,C15,C16,C17,C18
35,000101-00-0058,C06,C04,,,,,,,,,,,,,,,,
36,000101-00-0061,C16,,,,,,,,,,,,,,,,,
37,000101-00-0063,C01,C05,C02,C11,,,,,,,,,,,,,,
38,000101-00-0065,C01,C05,C15,,,,,,,,,,,,,,,
39,000101-00-0066,C05,C03,C15,C01,C02,C04,C11,C12,C13,,,,,,,,,
40,000101-00-0069,C16,C01,,,,,,,,,,,,,,,,
41,000101-00-0070,C11,C15,C01,C16,C14,,,,,,,,,,,,,
42,000101-00-0073,C16,C15,C01,C02,C06,C13,,,,,,,,,,,,
43,000101-00-0076,C01,C04,C03,,,,,,,,,,,,,,,
44,000101-00-0077,C04,C01,,,,,,,,,,,,,,,,
45,000101-00-0079,C15,C05,,,,,,,,,,,,,,,,
46,000101-00-0082,C16,C05,C13,C02,C12,C01,,,,,,,,,,,,
47,000101-00-0084,C04,C01,C12,C11,,,,,,,,,,,,,,
48,000101-00-0085,C15,C05,C03,,,,,,,,,,,,,,,
49,000101-00-0087,C06,C09,C01,C15,C05,C16,,,,,,,,,,,,
50,000101-00-0090,C18,,,,,,,,,,,,,,,,,
51,000101-00-0092,C01,C04,C13,C14,C06,C07,C10,C18,C16,,,,,,,,,
52,000101-00-0094,C01,C16,,,,,,,,,,,,,,,,
53,000101-00-0096,C02,C04,C05,C11,C13,C01,,,,,,,,,,,,
54,000101-00-0098,C14,C16,C04,,,,,,,,,,,,,,,
55,000101-00-0100,C02,,,,,,,,,,,,,,,,,
56,000101-00-0101,C16,C06,C04,C14,C09,,,,,,,,,,,,,
57,000101-00-0103,C15,C01,C05,,,,,,,,,,,,,,,
58,000101-00-0105,C06,C04,C14,C16,,,,,,,,,,,,,,
59,000101-00-0107,C15,C03,C02,,,,,,,,,,,,,,,
60,000101-00-0110,C15,C02,C03,C04,C05,C11,C12,C13,C14,C16,C17,C18,C01,C06,C07,C08,C09,C10
61,000101-00-0112,C04,C16,C06,C14,,,,,,,,,,,,,,
62,000101-00-0113,C01,C16,C11,C14,C06,,,,,,,,,,,,,
63,000101-00-0115,C15,C01,C02,,,,,,,,,,,,,,,
64,000101-00-0118,C01,C12,C03,C16,C11,C13,C18,,,,,,,,,,,
65,000101-00-0119,C01,C12,C02,C16,C11,C13,C18,,,,,,,,,,,
66,000101-00-0122,C15,C02,C03,,,,,,,,,,,,,,,
67,000101-00-0124,C09,C11,C13,C15,C02,,,,,,,,,,,,,
68,000101-00-0125,C02,C01,C15,C04,C05,C06,,,,,,,,,,,,
69,000101-00-0128,C15,,,,,,,,,,,,,,,,,
70,000101-00-0129,C04,C17,C15,C12,C16,C01,C02,,,,,,,,,,,
71,000101-00-0132,C12,C09,,,,,,,,,,,,,,,,
72,000101-00-0133,C04,C17,C06,C16,C14,,,,,,,,,,,,,
73,000101-00-0135,C11,C03,C01,C13,C16,C02,,,,,,,,,,,,
74,000101-00-0138,C01,C15,C03,C10,C11,C09,,,,,,,,,,,,
75,000101-00-0139,C01,C12,C02,C15,C11,C13,C16,C05,,,,,,,,,,
76,000101-00-0141,C01,,,,,,,,,,,,,,,,,
77,000101-00-0143,C03,C01,C05,,,,,,,,,,,,,,,
78,000101-00-0146,C15,C01,C03,,,,,,,,,,,,,,,
79,000101-00-0148,C01,C13,C03,C16,,,,,,,,,,,,,,
80,000101-00-0149,C01,C05,C13,C02,,,,,,,,,,,,,,
81,000101-00-0151,C05,C18,,,,,,,,,,,,,,,,
82,000101-00-0154,C13,C05,C07,C08,C15,C03,C10,C04,,,,,,,,,,
83,000101-00-0155,C11,C03,C02,C01,C13,C05,C16,,,,,,,,,,,
84,000101-00-0158,C12,C01,C02,C08,C13,C14,C15,C16,,,,,,,,,,
85,000101-00-0160,C15,C02,C03,C10,C05,C04,C01,C11,C13,,,,,,,,,
86,000101-00-0161,C15,C16,C01,,,,,,,,,,,,,,,
87,000101-00-0163,C15,C05,C11,,,,,,,,,,,,,,,
88,000101-00-0164,C06,C05,C15,,,,,,,,,,,,,,,
89,000101-00-0167,C01,C02,C15,C13,C12,C11,,,,,,,,,,,,
90,000101-00-0169,C15,C05,C06,C11,,,,,,,,,,,,,,
91,000101-00-0170,C15,,,,,,,,,,,,,,,,,
92,000101-00-0171,C15,C13,C05,C02,C03,,,,,,,,,,,,,
93,000101-00-0174,C15,C13,C17,C01,C03,C02,C16,C12,C14,C18,C04,C05,C11,C10,C09,C08,C07,C06
94,000101-00-0175,C15,C02,C01,,,,,,,,,,,,,,,
95,000101-00-0178,C15,,,,,,,,,,,,,,,,,
96,000101-00-0180,C15,C05,C17,C09,,,,,,,,,,,,,,
97,000101-00-0182,C05,C09,C10,,,,,,,,,,,,,,,
98,000101-00-0183,C15,C05,,,,,,,,,,,,,,,,
99,000101-00-0185,C04,C06,C15,C16,C01,C02,C03,C12,C05,C11,,,,,,,,
100,000101-00-0188,C04,C05,,,,,,,,,,,,,,,,
101,000101-00-0190,C05,C17,,,,,,,,,,,,,,,,
102,000101-00-0192,C01,C06,C11,C13,C15,C02,C16,,,,,,,,,,,
