,ID,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,24th Choice,25th Choice
0,"001001-00-0003,10003,001,1)",C03,C02,C06,C07,,,,,,,,,,,,,,,,,,,,,
1,"001001-00-0004,10005,001,1)",C23,C03,C05,C08,C10,C17,,,,,,,,,,,,,,,,,,,
2,"001001-00-0006,10001,001,1)",C05,C23,C03,C22,C02,C12,C15,C16,C18,C20,C21,C04,C06,C07,C08,C09,C10,C11,C13,C14,C17,C19,C24,C25,C01
3,"001001-00-0008,10008,001,1)",C09,C22,C25,,,,,,,,,,,,,,,,,,,,,,
4,"001001-00-0011,10004,001,1)",C05,C08,C20,C21,,,,,,,,,,,,,,,,,,,,,
5,"001001-00-0012,10009,001,1)",C09,C22,C03,,,,,,,,,,,,,,,,,,,,,,
6,"001001-00-0015,10006,001,1)",C05,C17,C06,C03,C12,C09,C10,C23,C19,,,,,,,,,,,,,,,,
7,"001001-00-0017,10007,001,1)",C21,C03,C05,C17,C23,,,,,,,,,,,,,,,,,,,,
8,"001001-00-0018,10010,001,1)",C03,C05,C08,C20,C21,C16,,,,,,,,,,,,,,,,,,,
9,"001001-00-0021,10011,001,1)",C23,C12,C15,,,,,,,,,,,,,,,,,,,,,,
10,"001001-00-0022,10012,001,1)",C03,C10,C17,C08,C05,C18,C19,C23,,,,,,,,,,,,,,,,,
11,"001001-00-0024,10013,001,1)",C18,C16,C10,C03,C23,C17,C19,C05,C08,C21,C20,,,,,,,,,,,,,,
12,"001001-00-0027,10015,001,1)",C21,C04,C03,C19,C02,,,,,,,,,,,,,,,,,,,,
13,"001001-00-0029,10002,001,1)",C02,C09,C04,C03,,,,,,,,,,,,,,,,,,,,,
14,"001001-00-0031,10003,001,1)",C23,C21,C18,C19,C10,C05,C03,,,,,,,,,,,,,,,,,,
15,"001001-00-0033,10009,001,1)",C21,C03,C17,C19,C18,C16,C23,,,,,,,,,,,,,,,,,,
16,"001001-00-0034,10014,001,1)",C18,C16,C23,C04,C05,C06,C03,C21,C22,C01,C09,C12,,,,,,,,,,,,,
17,"001001-00-0035,10020,001,1)",C20,C19,C21,C03,,,,,,,,,,,,,,,,,,,,,
18,"001001-00-0038,10021,001,1)",C21,C19,C10,C03,C23,C18,C17,C09,C01,C02,,,,,,,,,,,,,,,
19,"001001-00-0040,10019,001,1)",C01,C09,C10,C19,C18,C03,C08,C05,C20,,,,,,,,,,,,,,,,
20,"001001-00-0043,10018,001,1)",C09,C22,C10,C18,C12,C17,C21,C16,C05,C07,C01,C14,C19,C24,C25,,,,,,,,,,
21,"001001-00-0044,10016,001,1)",C02,C04,,,,,,,,,,,,,,,,,,,,,,,
22,"001001-00-0045,10012,001,1)",C10,C04,C03,C15,C17,,,,,,,,,,,,,,,,,,,,
23,"001001-00-0047,10016,001,1)",C03,C24,C23,,,,,,,,,,,,,,,,,,,,,,
24,"001001-00-0049,10020,001,1)",C03,C10,C16,C18,C17,,,,,,,,,,,,,,,,,,,,
25,"001001-00-0051,10007,001,1)",C21,C23,C04,C10,C02,C19,C09,C01,C03,C11,C22,C25,C05,C17,C14,C18,C12,C15,C24,C06,C07,C16,C08,C20,C13
26,"001001-00-0053,10022,001,1)",C23,C05,C09,C10,C17,C21,C01,C12,C19,,,,,,,,,,,,,,,,
27,"001001-00-0054,10011,001,1)",C03,C09,,,,,,,,,,,,,,,,,,,,,,,
28,"001001-00-0056,10013,001,1)",C04,C21,C18,C03,,,,,,,,,,,,,,,,,,,,,
29,"001001-00-0057,10010,001,1)",C08,C03,C16,C18,,,,,,,,,,,,,,,,,,,,,
30,"001001-00-0058,10012,001,1)",C19,C10,C18,C17,C04,C09,C08,C03,,,,,,,,,,,,,,,,,
