,Unnamed: 0,Unnamed: 1,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th Choice,11th Choice,12th Choice,13th Choice,14th Choice,15th Choice,16th Choice,17th Choice,18th Choice,19th Choice,20th Choice,21st Choice,22nd Choice,23rd Choice,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
0,000803-00-0001,10003,C14,C21,C06,C15,C04,C17,C22,C07,,,,,,,,,,,,,,,,,,,
1,000803-00-0003,10000,C12,C14,,,,,,,,,,,,,,,,,,,,,,,,,
2,000803-00-0005,10004,C01,C10,C02,C03,C12,C21,C15,C17,C19,,,,,,,,,,,,,,,,,,
3,000803-00-0007,10005,C10,C03,C19,C01,C12,C15,C20,,,,,,,,,,,,,,,,,,,,
4,000803-00-0010,10006,C15,C14,C06,C11,C01,C04,,,,,,,,,,,,,,,,,,,,,
5,000803-00-0011,10008,C03,C06,C08,C22,C21,C19,C14,C12,C05,,,,,,,,,,,,,,,,,,
6,000803-00-0013,10010,C03,C19,C15,C01,C14,C10,C06,C12,,,,,,,,,,,,,,,,,,,
7,000803-00-0015,10009,C14,C06,C02,C08,C15,C10,,,,,,,,,,,,,,,,,,,,,
8,000803-00-0017,10011,C14,C06,C22,C10,C18,C17,C16,C13,C12,C15,C19,C20,C23,C01,C02,C03,C04,C07,C08,C09,,,,,,,
9,000803-00-0019,10012,C06,C03,,,,,,,,,,,,,,,,,,,,,,,,,
10,000803-00-0020,10013,C03,,,,,,,,,,,,,,,,,,,,,,,,,,
11,000803-00-0023,10014,C15,C19,C21,C03,C12,C20,C10,,,,,,,,,,,,,,,,,,,,
12,000803-00-0024,10015,C14,C22,C06,C18,,,,,,,,,,,,,,,,,,,,,,,
13,000803-00-0026,10016,C19,C01,C06,C15,C03,C23,,,,,,,,,,,,,,,,,,,,,
14,000803-00-0028,10017,C16,C12,C03,C20,C21,C01,C02,C10,C14,C22,C06,C08,C11,,,,,,,,,,,,,,
15,000803-00-0032,10019,C21,C02,C14,C08,C03,C15,C19,C01,C12,C10,C17,,,,,,,,,,,,,,,,
16,000803-00-0034,10020,C19,C03,C06,C17,,,,,,,,,,,,,,,,,,,,,,,
17,000803-00-0035,10022,C21,C02,C14,C08,C15,C19,C10,,,,,,,,,,,,,,,,,,,,
18,000803-00-0038,10001,C02,C03,C04,C14,C19,,,,,,,,,,,,,,,,,,,,,,
19,000803-00-0039,10002,C02,C03,C04,C12,C14,C19,,,,,,,,,,,,,,,,,,,,,
20,000803-00-0041,10000,C06,C08,C19,C03,C01,C14,,,,,,,,,,,,,,,,,,,,,
21,000803-00-0043,10003,C12,C11,C15,C01,C03,,,,,,,,,,,,,,,,,,,,,,
22,000803-00-0046,10006,C04,C21,C10,C02,,,,,,,,,,,,,,,,,,,,,,,
23,000803-00-0049,10008,C14,C22,C19,C21,,,,,,,,,,,,,,,,,,,,,,,
24,000803-00-0051,10007,C15,C01,C14,C19,C03,C21,C08,C02,C22,,,,,,,,,,,,,,,,,,
25,000803-00-0053,10009,C14,C21,C03,C02,C01,C20,C19,C15,,,,,,,,,,,,,,,,,,,
26,000803-00-0055,10010,C11,C19,C12,C13,C17,C15,C23,C05,C08,C14,C21,C04,C22,C20,C18,C16,C07,C06,C09,C10,C01,C03,C02,,,,
27,000803-00-0056,10011,C16,C18,C21,C11,C09,C06,C04,C07,C05,C08,C23,C22,C17,C13,C10,C03,C02,C01,C20,C19,C12,C14,C15,,,,
28,000803-00-0059,10013,C12,C01,C20,,,,,,,,,,,,,,,,,,,,,,,,
29,000803-00-0061,10012,C21,C01,C03,C12,C04,C08,,,,,,,,,,,,,,,,,,,,,
30,000803-00-0062,10014,C22,C14,C03,C07,,,,,,,,,,,,,,,,,,,,,,,
31,000803-00-0065,10015,C21,C12,C20,C03,C19,C05,C10,C13,C14,C15,C11,,,,,,,,,,,,,,,,
