Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
000101,C16,C17,C03,C06,C14
000102,C16,C17,C06,C14,C08
000103,C16,C17,C12,C14,C08
000201,C17,C18,C19,C12,C14
000202,C02,C19,C03,C15,C14
000203,C02,C03,C12,C05,C14
000301,C02,C16,C17,C06,C14
000302,C02,C17,C03,C12,C14
000303,C18,C19,WI0,C12,C14
000401,C19,C03,C12,C06,C14
000402,C13,C18,C03,C12,C14
000403,C02,C16,C03,C12,C14
000501,C02,C19,C03,C12,C14
000502,C19,C03,C12,C06,C14
000503,C17,C19,C03,C06,C14
000601,C13,C17,C18,C03,C14
000602,C02,C16,C03,C12,C14
000603,C16,C13,C03,C06,C14
000701,C13,C03,C06,C14,C08
000702,C13,C18,C03,C12,C06
000703,C02,C03,C12,C06,C14
000801,C02,C13,C03,C06,C14
000802,C13,C03,C15,C14,C08
000803,C02,C03,C12,C14,C08
000901,C13,C03,C15,C14,C08
000902,C13,C17,C03,C14,C08
000903,C16,C17,C03,C14,C08
001001,C03,WI0,C06,C14,C08
001002,C13,C03,WI0,C06,C08
001003,C19,C03,C12,C06,C14
001101,C16,C17,C19,C12,C14
001102,C16,C03,C06,C14,C08
001103,C16,WI0,C06,C14,C08
