Precinct,Winner_1,Winner_2,Winner_3,Winner_4,Winner_5
97,372,370,369,371,373
98,372,370,369,371,373
99,372,370,369,371,373
100,372,370,369,371,373
101,372,370,369,371,373
102,372,370,369,371,373
103,372,370,369,371,373
104,372,370,369,371,373
105,372,370,369,371,373
106,372,370,369,371,373
107,372,370,369,371,373
108,372,370,369,371,373
109,372,370,369,371,373
110,372,370,369,371,373
111,372,370,369,371,373
112,372,370,369,371,373
113,372,370,369,371,373
114,372,370,369,371,373
115,372,370,369,371,373
116,372,370,369,371,373
117,372,370,369,371,373
118,372,370,369,371,373
119,372,370,369,371,373
120,372,370,369,371,373
121,372,370,369,371,373
122,372,370,369,371,373
123,372,370,369,371,373
124,372,370,369,371,373
125,372,370,369,371,373
126,372,370,369,371,373
127,372,370,369,371,373
128,372,370,369,371,373
129,372,370,369,371,373
130,372,370,369,371,373
131,372,370,369,371,373
132,372,370,369,371,373
133,372,370,369,371,373
134,372,370,369,371,373
135,372,370,369,371,373
136,372,370,369,371,373
137,372,370,369,371,373
138,372,370,369,371,373
139,372,370,369,371,373
140,372,370,369,371,373
141,372,370,369,371,373
142,372,370,369,371,373
143,372,370,369,371,373
144,372,370,369,371,373
145,372,370,369,371,373
146,372,370,369,371,373
147,372,370,369,371,373
148,372,370,369,371,373
149,372,370,369,371,373
150,372,370,369,371,373
151,372,370,369,371,373
152,372,370,369,371,373
153,372,370,369,371,373
154,372,370,369,371,373
155,372,370,369,371,373
156,372,370,369,371,373
157,372,370,369,371,373
158,372,370,369,371,373
159,372,370,369,371,373
224,372,370,369,371,373
225,372,370,369,371,373
226,372,370,369,371,373
227,372,370,369,371,373
228,372,370,369,371,373
229,372,370,369,371,373
230,372,370,369,371,373
231,372,370,369,371,373
232,372,370,369,371,373
233,372,370,369,371,373
234,372,370,369,371,373
235,372,370,369,371,373
236,372,370,369,371,373
237,372,370,369,371,373
238,372,370,369,371,373
239,372,370,369,371,373
240,372,370,369,371,373
241,372,370,369,371,373
242,372,370,369,371,373
243,372,370,369,371,373
244,372,370,369,371,373
245,372,370,369,371,373
246,372,370,369,371,373
247,372,370,369,371,373
248,372,370,369,371,373
249,372,370,369,371,373
250,372,370,369,371,373
251,372,370,369,371,373
252,372,370,369,371,373
253,372,370,369,371,373
254,372,370,369,371,373
255,372,370,369,371,373
256,372,370,369,371,373
257,372,370,369,371,373
258,372,370,369,371,373
259,372,370,369,371,373
260,372,370,369,371,373
261,372,370,369,371,373
262,372,370,369,371,373
263,372,370,369,371,373
264,372,370,369,371,373
265,372,370,369,371,373
266,372,370,369,371,373
267,372,370,369,371,373
268,372,370,369,371,373
269,372,370,369,371,373
270,372,370,369,371,373
271,372,370,369,371,373
272,372,370,369,371,373
273,372,370,369,371,373
274,372,370,369,371,373
275,372,370,369,371,373
276,372,370,369,371,373
277,372,370,369,371,373
278,372,370,369,371,373
279,372,370,369,371,373
280,372,370,369,371,373
281,372,370,369,371,373
282,372,370,369,371,373
283,372,370,369,371,373
284,372,370,369,371,373
285,372,370,369,371,373
286,372,370,369,371,373
287,372,370,369,371,373
288,372,370,369,371,373
289,372,370,369,371,373
290,372,370,369,371,373
291,372,370,369,371,373
292,372,370,369,371,373
293,372,370,369,371,373
294,372,370,369,371,373
295,372,370,369,371,373
296,372,370,369,371,373
297,372,370,369,371,373
298,372,370,369,371,373
299,372,370,369,371,373
300,372,370,369,371,373
301,372,370,369,371,373
302,372,370,369,371,373
303,372,370,369,371,373
304,372,370,369,371,373
305,372,370,369,371,373
306,372,370,369,371,373
307,372,370,369,371,373
308,372,370,369,371,373
309,372,370,369,371,373
310,372,370,369,371,373
311,372,370,369,371,373
312,372,370,369,371,373
313,372,370,369,371,373
314,372,370,369,371,373
315,372,370,369,371,373
316,372,370,369,371,373
317,372,370,369,371,373
318,372,370,369,371,373
319,372,370,369,371,373
320,372,370,369,371,373
321,372,370,369,371,373
322,372,370,369,371,373
323,372,370,369,371,373
324,372,370,369,371,373
325,372,370,369,371,373
326,372,370,369,371,373
327,372,370,369,371,373
328,372,370,369,371,373
329,372,370,369,371,373
330,372,370,369,371,373
331,372,370,369,371,373
332,372,370,369,371,373
333,372,370,369,371,373
334,372,370,369,371,373
335,372,370,369,371,373
336,372,370,369,371,373
337,372,370,369,371,373
338,372,370,369,371,373
339,372,370,369,371,373
340,372,370,369,371,373
341,372,370,369,371,373
342,372,370,369,371,373
343,372,370,369,371,373
344,372,370,369,371,373
345,372,370,369,371,373
346,372,370,369,371,373
347,372,370,369,371,373
348,372,370,369,371,373
349,372,370,369,371,373
350,372,370,369,371,373
351,372,370,369,371,373
352,372,370,369,371,373
353,372,370,369,371,373
354,372,370,369,371,373
355,372,370,369,371,373
356,372,370,369,371,373
357,372,370,369,371,373
358,372,370,369,371,373
359,372,370,369,371,373
360,372,370,369,371,373
361,372,370,369,371,373
362,372,370,369,371,373
363,372,370,369,371,373
369,372,370,369,371,373
370,372,370,369,371,373
371,372,370,369,371,373
372,372,370,369,371,373
373,372,370,369,371,373
374,372,370,369,371,373
375,372,370,369,371,373
376,372,370,369,371,373
