Precinct,Winner_1,Winner_2,Winner_3
000101,C20,C18,C03
000102,C20,C08,C03
000103,C20,C18,C03
000201,C16,C18,C01
000202,C07,C09,C03
000203,C20,C09,C03
000301,C20,C03,C01
000302,C18,C03,C21
000303,C18,C21,C01
000304,C20,C18,C03
000401,C16,C18,C01
000402,C10,C03,C21
000403,C16,C03,C21
000501,C18,C03,C01
000502,C09,C18,C03
000503,C09,C03,C10
000601,C17,C09,C03
000602,C16,C03,C21
000603,C02,C17,C03
000701,C03,C05,C10
000702,C02,C03,C21
000703,C02,C07,C03
000801,C02,C03,C10
000802,C02,C08,C03
000803,C07,C04,C03
000901,C08,C03,C10
000902,C08,C03,C10
000903,C08,C03,C10
001001,C03,C08,C05
001002,C02,C03,C10
001003,C18,C03,C10
001101,C12,C18,C09
001102,C08,C05,C03
001103,C08,C05,C03
00201,C22,C06,C01
