Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-1 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-03,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-1 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-1 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-03A,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-05A,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-10 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-07,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-11 P-08,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-11 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-11 P-10,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-12 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-07,OLE SAVIOR,BETSY HODGES,MARK ANDREW
MINNEAPOLIS W-12 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-12 P-09,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-12 P-10,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-13 P-01,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-13 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-13 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-13 P-04,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-13 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-13 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-13 P-07,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-13 P-08,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-13 P-09,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-2 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-04,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-2 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-2 P-10,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-3 P-01,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-3 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-3 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-3 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-3 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-3 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-3 P-07,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-3 P-08,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-3 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-4 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-01,JACKIE CHERRYHOMES,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-5 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-03,JACKIE CHERRYHOMES,BETSY HODGES,DON SAMUELS
MINNEAPOLIS W-5 P-04,JACKIE CHERRYHOMES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-05,JACKIE CHERRYHOMES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-5 P-6C,JACKIE CHERRYHOMES,BETSY HODGES,MARK ANDREW
MINNEAPOLIS W-6 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-03,BETSY HODGES,MARK ANDREW,"ABDUL M RAHAMAN ""THE ROCK"""
MINNEAPOLIS W-6 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-05,MARK ANDREW,BETSY HODGES,MARK V ANDERSON
MINNEAPOLIS W-6 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-6 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-01C,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-02D,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-7 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-04D,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-7 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-06,BETSY HODGES,CAM WINTON,MARK ANDREW
MINNEAPOLIS W-7 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-09,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-7 P-10,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-8 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-01,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-02,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-03,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-04,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-05,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-06,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-07,BETSY HODGES,MARK ANDREW,DON SAMUELS
MINNEAPOLIS W-9 P-08,BETSY HODGES,MARK ANDREW,DON SAMUELS
