Precinct,Winner_1,Winner_2,Winner_3
MINNEAPOLIS W-1 P-01,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-03,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-04,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-05,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-07,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-08,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-1 P-09,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-01,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-03A,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-10 P-04,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-05A,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-08,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-10 P-09,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-01,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-03,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-04,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-05,STEVE BARLAND,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-06,STEVE BARLAND,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-11 P-07,STEVE BARLAND,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-11 P-08,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-09,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-11 P-10,TOM NORDYKE,STEVE BARLAND,JOHN ERWIN
MINNEAPOLIS W-12 P-01,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-02,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-03,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-04,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-05,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-06,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-07,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-08,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-09,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-12 P-10,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-01,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-03,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-13 P-04,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-05,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-13 P-08,STEVE BARLAND,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-13 P-09,STEVE BARLAND,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-2 P-01,ANNIE YOUNG,JASON STONE,JOHN ERWIN
MINNEAPOLIS W-2 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-03,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-04,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-05,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-08,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-09,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-2 P-10,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-01,ANNIE YOUNG,JASON STONE,JOHN ERWIN
MINNEAPOLIS W-3 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-03,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-04,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-05,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-06,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-07,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-08,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-3 P-09,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-01,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-02,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-03,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-04,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-05,TOM NORDYKE,MEG FORNEY,ANNIE YOUNG
MINNEAPOLIS W-4 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-4 P-08,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-01,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-02,MARY LYNN MCPHERSON,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-03,MARY LYNN MCPHERSON,ANNIE YOUNG,ISHMAEL ISRAEL
MINNEAPOLIS W-5 P-04,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-05,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-07,ISHMAEL ISRAEL,HASHIM YONIS,ANNIE YOUNG
MINNEAPOLIS W-5 P-08,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-5 P-6C,ANNIE YOUNG,JASON STONE,JOHN ERWIN
MINNEAPOLIS W-6 P-01,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-02,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-03,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-04,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-05,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-06,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-07,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-08,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-6 P-09,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-7 P-01C,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-7 P-02D,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-7 P-03,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-7 P-04D,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-7 P-05,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-7 P-06,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-7 P-07,TOM NORDYKE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-7 P-08,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-7 P-09,TOM NORDYKE,MEG FORNEY,JOHN ERWIN
MINNEAPOLIS W-7 P-10,JASON STONE,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-01,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-03,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-04,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-05,STEVE BARLAND,TOM NORDYKE,ANNIE YOUNG
MINNEAPOLIS W-8 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-8 P-08,ANNIE YOUNG,TOM NORDYKE,JASON STONE
MINNEAPOLIS W-9 P-01,ANNIE YOUNG,JASON STONE,JOHN ERWIN
MINNEAPOLIS W-9 P-02,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-03,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-04,HASHIM YONIS,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-05,ISHMAEL ISRAEL,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-06,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-07,MEG FORNEY,ANNIE YOUNG,JOHN ERWIN
MINNEAPOLIS W-9 P-08,HASHIM YONIS,MEG FORNEY,ANNIE YOUNG
