Precinct,Winner_1,Winner_2,Winner_3
304,412,413,414
338,412,413,414
339,412,413,414
340,412,413,414
343,412,413,414
344,412,413,414
345,412,413,414
346,412,413,414
347,412,413,414
348,412,413,414
349,412,413,414
350,412,413,414
351,412,413,414
352,412,413,414
353,412,413,414
354,412,413,414
355,412,413,414
356,412,413,414
357,412,413,414
358,412,413,414
359,412,413,414
360,412,413,414
361,412,413,414
362,412,413,414
363,412,413,414
364,412,413,414
365,412,413,414
368,412,413,414
804,412,413,414
805,412,413,414
811,412,413,414
