Precinct,Winner_1,Winner_2,Winner_3
120,382,383,385
238,382,385,384
240,382,385,384
241,384,382,385
242,384,382,385
243,382,385,384
244,384,382,385
245,384,382,385
246,384,382,385
247,382,385,384
248,384,382,385
249,382,383,385
250,384,382,385
252,384,382,385
253,382,385,384
254,382,385,384
255,382,383,385
262,382,385,384
263,384,382,386
264,384,383,385
265,384,382,385
266,382,385,384
267,382,385,384
268,382,385,384
269,384,382,385
270,384,382,385
271,384,383,385
272,384,382,385
273,384,383,385
274,382,383,385
275,384,383,385
276,384,383,385
277,384,383,385
278,382,385,384
280,382,385,384
282,382,383,385
807,382,383,385
811,385,381,386
816,384,383,385
817,384,382,385
818,382,385,381
819,383,385,381
820,384,383,382
821,384,382,385
822,382,385,386
