Precinct,Winner_1,Winner_2,Winner_3
100,420,428,431
101,420,428,431
102,420,428,431
103,430,428,431
104,420,428,431
105,420,428,431
106,430,428,431
107,430,428,431
108,420,428,431
109,420,428,431
110,430,428,431
111,420,428,431
112,420,428,431
113,420,428,431
114,420,428,431
115,420,419,431
116,431,420,419
117,420,419,431
118,420,428,431
119,419,428,431
120,420,419,431
121,431,420,419
122,431,420,419
123,431,420,419
124,420,419,431
125,431,420,419
126,432,420,431
127,419,428,431
128,432,420,431
129,420,428,431
130,420,428,431
131,432,428,431
132,432,428,431
133,420,428,431
134,432,428,431
135,432,428,431
136,432,419,431
137,431,420,419
138,431,420,419
139,420,428,431
140,431,420,419
141,432,420,431
142,420,428,431
143,419,428,431
144,432,428,431
145,420,428,431
146,430,428,431
147,420,428,431
148,430,428,431
149,432,428,431
150,420,428,431
151,420,428,431
152,420,428,431
153,420,428,431
154,420,428,431
155,420,428,431
156,420,428,431
157,420,428,431
158,420,428,431
159,432,428,431
160,420,428,431
161,420,428,431
162,422,428,431
227,432,420,419
228,420,419,431
229,420,419,431
230,420,419,431
231,420,419,431
232,420,419,431
233,432,431,419
234,431,420,419
235,432,419,431
236,420,419,431
237,420,419,431
238,431,420,419
239,431,420,419
240,431,420,419
241,420,419,431
242,432,428,431
243,431,420,419
244,431,420,419
245,432,420,431
246,431,420,419
247,420,419,431
248,431,420,419
249,420,428,431
250,431,420,419
251,419,428,431
252,420,419,431
253,420,419,431
254,432,420,431
255,432,419,431
256,432,420,431
257,420,419,431
258,420,428,431
259,432,430,431
260,432,431,419
261,432,420,431
262,432,431,419
263,432,419,431
264,432,420,431
265,432,420,419
266,431,420,419
267,431,420,419
268,432,420,419
269,420,419,431
270,420,419,431
271,420,419,431
272,432,420,431
273,431,420,419
274,432,420,431
275,431,420,419
276,431,420,419
277,432,420,419
278,420,419,431
279,432,420,419
280,430,420,432
281,432,420,419
282,432,420,431
283,420,428,431
284,432,420,431
285,432,420,419
286,432,420,431
287,432,420,419
288,432,420,431
289,432,420,431
290,432,420,431
291,432,420,431
292,432,428,431
293,432,420,431
294,432,428,431
295,420,428,431
296,420,428,431
297,432,420,431
298,432,420,431
299,432,420,431
300,431,420,419
301,432,431,419
302,431,420,419
303,432,420,431
304,420,428,431
305,420,428,431
306,432,428,431
307,420,428,431
308,432,420,431
309,432,420,431
310,432,420,431
311,430,419,431
312,432,419,431
313,431,432,419
314,431,432,419
315,432,419,431
316,431,420,419
317,431,428,419
318,432,419,431
319,432,420,431
320,432,420,431
321,432,420,431
322,432,420,431
323,431,432,419
324,432,420,419
325,432,420,431
326,432,431,419
327,432,420,431
328,432,419,431
329,432,419,431
330,432,420,431
331,432,420,431
332,432,420,431
333,432,420,419
334,432,420,431
335,432,420,431
336,432,420,431
337,432,420,419
338,432,420,419
339,432,420,419
340,432,420,430
341,432,420,419
342,432,420,419
343,432,420,419
344,432,420,430
345,432,420,430
346,420,419,431
347,431,420,419
348,430,431,419
349,430,420,431
350,430,420,419
351,432,420,419
352,430,420,432
353,430,420,419
354,432,420,430
355,432,428,431
356,420,428,431
357,430,428,431
358,430,420,431
359,432,428,431
360,431,420,419
361,431,420,419
362,432,420,430
363,420,428,431
364,420,419,431
365,430,420,432
366,430,420,432
367,432,420,430
368,432,420,430
369,432,420,419
375,420,428,431
376,430,428,431
377,430,420,431
378,432,428,431
379,430,420,431
380,432,430,431
381,430,432,431
382,432,430,431
383,432,430,431
384,430,432,420
385,430,420,432
386,432,420,419
387,432,420,430
388,432,420,430
389,432,420,419
390,430,420,432
391,432,420,430
392,430,420,432
393,432,420,419
394,432,420,430
395,430,432,420
396,432,420,430
807,420,428,431
808,432,420,419
809,420,419,431
810,420,428,431
811,432,420,431
812,431,420,419
813,432,419,431
814,432,420,431
815,420,428,431
816,420,428,431
817,431,420,419
818,420,428,431
820,432,420,431
821,432,419,431
823,431,420,419
824,420,419,431
825,432,420,431
826,430,420,423
827,432,420,419
828,432,420,419
829,432,419,431
830,432,419,431
831,420,419,431
832,420,419,431
833,420,419,431
834,420,428,431
835,430,420,419
836,430,420,419
837,420,419,431
838,431,420,419
839,421,427,431
840,432,420,419
842,432,420,419
843,432,420,431
844,430,428,431
846,430,432,431
847,430,420,431
848,432,428,431
